,treatment_cultivar,cultivar,variable,value_simulated,value_measured,experiment,position,calibration_code,plantgro_variables,overview_variables,calibration_method,short_label,long_label,treatment
1535,DR23_G-10,ENTRY 10,Product unit weight (g dm),0.038,0.031,CIOB2302 WH ROOTS ANATOMY DROUGHT,6,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1536,DR23_G-10,ENTRY 10,Product number (no/m2),3652.0,9076.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,7,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1538,DR23_G-10,ENTRY 10,Product harvest index (ratio),0.55,0.44,CIOB2302 WH ROOTS ANATOMY DROUGHT,9,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1539,DR23_G-10,ENTRY 10,Maximum leaf area index,1.5,4.3,CIOB2302 WH ROOTS ANATOMY DROUGHT,10,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1542,DR23_G-10,ENTRY 10,Canopy (tops) wt (kg dm/ha),2563.0,6477.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,13,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1543,DR23_G-10,ENTRY 10,Vegetative wt (kg dm/ha),1159.0,3627.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,14,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1553,DR23_G-10,ENTRY 10,Product N (kg/ha),39.4,54.7,CIOB2302 WH ROOTS ANATOMY DROUGHT,24,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1555,DR23_G-10,ENTRY 10,Product N (%),2.8,1.9,CIOB2302 WH ROOTS ANATOMY DROUGHT,26,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1561,DR23_G-11,ENTRY 11,Emergence (DAP),2.0,6.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,2,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1562,DR23_G-11,ENTRY 11,Anthesis (DAP),77.0,83.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,3,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1563,DR23_G-11,ENTRY 11,Maturity (DAP),105.0,113.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,4,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1564,DR23_G-11,ENTRY 11,Product wt (kg dm/ha;no loss),1417.0,3193.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,5,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1565,DR23_G-11,ENTRY 11,Product unit weight (g dm),0.042,0.035,CIOB2302 WH ROOTS ANATOMY DROUGHT,6,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1566,DR23_G-11,ENTRY 11,Product number (no/m2),3401.0,9147.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,7,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1568,DR23_G-11,ENTRY 11,Product harvest index (ratio),0.55,0.39,CIOB2302 WH ROOTS ANATOMY DROUGHT,9,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1569,DR23_G-11,ENTRY 11,Maximum leaf area index,1.6,4.8,CIOB2302 WH ROOTS ANATOMY DROUGHT,10,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1572,DR23_G-11,ENTRY 11,Canopy (tops) wt (kg dm/ha),2581.0,8112.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,13,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1573,DR23_G-11,ENTRY 11,Vegetative wt (kg dm/ha),1164.0,4919.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,14,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1583,DR23_G-11,ENTRY 11,Product N (kg/ha),39.3,66.9,CIOB2302 WH ROOTS ANATOMY DROUGHT,24,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1585,DR23_G-11,ENTRY 11,Product N (%),2.8,2.1,CIOB2302 WH ROOTS ANATOMY DROUGHT,26,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1591,DR23_G-12,ENTRY 12,Emergence (DAP),2.0,6.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,2,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1592,DR23_G-12,ENTRY 12,Anthesis (DAP),86.0,86.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,3,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1593,DR23_G-12,ENTRY 12,Maturity (DAP),114.0,117.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,4,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1594,DR23_G-12,ENTRY 12,Product wt (kg dm/ha;no loss),1386.0,3170.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,5,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1595,DR23_G-12,ENTRY 12,Product unit weight (g dm),0.046,0.04,CIOB2302 WH ROOTS ANATOMY DROUGHT,6,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1596,DR23_G-12,ENTRY 12,Product number (no/m2),2994.0,7889.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,7,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1598,DR23_G-12,ENTRY 12,Product harvest index (ratio),0.48,0.41,CIOB2302 WH ROOTS ANATOMY DROUGHT,9,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1599,DR23_G-12,ENTRY 12,Maximum leaf area index,1.8,4.5,CIOB2302 WH ROOTS ANATOMY DROUGHT,10,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1602,DR23_G-12,ENTRY 12,Canopy (tops) wt (kg dm/ha),2872.0,7611.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,13,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1603,DR23_G-12,ENTRY 12,Vegetative wt (kg dm/ha),1486.0,4441.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,14,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1613,DR23_G-12,ENTRY 12,Product N (kg/ha),42.2,62.3,CIOB2302 WH ROOTS ANATOMY DROUGHT,24,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1615,DR23_G-12,ENTRY 12,Product N (%),3.0,2.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,26,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1621,DR23_G-13,ENTRY 13,Emergence (DAP),2.0,6.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,2,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1622,DR23_G-13,ENTRY 13,Anthesis (DAP),85.0,86.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,3,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1623,DR23_G-13,ENTRY 13,Maturity (DAP),113.0,118.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,4,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
1624,DR23_G-13,ENTRY 13,Product wt (kg dm/ha;no loss),1450.0,3437.0,CIOB2302 WH ROOTS ANATOMY DROUGHT,5,pest_03_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,NoSplit_MLA_4PG,"PEST, Endpoint Variables, 4 Parameter Groups, Remove Split Slope Derivative Controls + Marquardt Lambda Adjustmen",Drought Stress 2023
